time,level,y,x,air,shum,omega,hgt,uwnd,vwnd
1803528.0,550.0,4122801.0,5031763.0,269.38876,0.003417,-0.21122074,5055.6914,22.77649,-5.321213
1906536.0,150.0,3863097.0,4350040.5,213.24286,2.7660017e-05,-0.00080674887,14089.309,17.09233,4.4434357
1879128.0,850.0,4512357.0,6005653.0,278.2505,0.00278,0.15281391,1519.5181,-1.7654572,1.7081146
1914576.0,925.0,3506004.0,6038116.0,303.90967,0.009330609,-0.05774784,712.54517,-9.009079,9.203125
1882608.0,850.0,4350042.0,6070579.0,277.8346,0.0032877312,-0.0050354004,1440.5872,11.589706,-11.183563
1915800.0,450.0,4252653.0,4739596.5,254.82011,0.000155,-0.093598366,6589.703,25.005005,12.755157
1855824.0,975.0,3570930.0,5843338.0,298.06274,0.009681211,0.033628464,309.82928,5.8730316,-3.8248749
1871496.0,900.0,4414968.0,4674670.5,305.1162,0.005883348,-0.19897938,1034.9526,-3.0729094,-0.95477295
1810800.0,975.0,2791818.0,4739596.5,304.23877,0.015210623,0.21045351,290.07117,6.065323,-1.6207733
1802664.0,225.0,4155264.0,4772059.5,225.94945,4.728991e-05,0.061574936,11366.953,29.824036,-15.067459
1871472.0,275.0,3148911.0,4901911.5,234.18033,0.0001328001,0.061088562,10357.074,4.069153,-0.3274536
1871496.0,650.0,4090338.0,4836985.5,285.28735,0.003574,-0.08624649,3851.9734,2.8667755,3.1455078
1803888.0,275.0,3960486.0,5291467.0,228.70781,9.55e-05,-0.19087124,10117.141,21.567505,13.6154785
1785312.0,225.0,4447431.0,4934374.5,219.14076,4.6500907e-05,0.06845856,11503.742,14.142242,-6.5338593
1801752.0,700.0,3343689.0,5551171.0,291.26343,0.0050396165,-0.5270643,3180.3047,7.476364,-4.5515137
1872120.0,900.0,4285116.0,5875801.0,292.76562,0.0061130603,0.054009438,1028.9055,-3.986206,6.2744293
1812120.0,500.0,3116448.0,6103042.0,260.15125,0.002072,0.17023468,5695.2695,32.96785,7.490265
1891704.0,850.0,4447431.0,4966837.0,284.28497,0.00351,-0.07208538,1516.835,2.5673828,1.7221375
1847112.0,200.0,3960486.0,5194078.0,217.53557,4.8600006e-05,-0.006298065,12159.77,36.856033,23.164673
1820352.0,200.0,3246300.0,6167968.0,222.93472,1.6666385e-05,0.016667366,12414.711,-0.3451538,-5.52092
1783128.0,975.0,2759355.0,4901911.5,311.4651,0.004625524,-0.17149162,261.3902,0.19673157,6.73909
1890408.0,800.0,4090338.0,4414966.5,286.6963,0.0061138268,-0.37477398,2000.4175,0.9709778,3.5203705
1785792.0,925.0,3603393.0,5843338.0,297.4563,0.0051055164,0.12527084,761.0764,-0.093048096,-2.8231964
1959120.0,925.0,4025412.0,4447429.5,302.19043,0.0038740332,0.07479191,788.3257,4.6210938,1.7621241
1934424.0,600.0,3668319.0,4252651.5,279.64838,0.001655348,-0.054149628,4490.074,0.75590515,12.8923645
1946136.0,1000.0,2889207.0,5194078.0,293.53613,0.006608916,0.09046215,146.0415,0.064956665,0.4715271
1880664.0,275.0,4317579.0,4642207.5,232.17967,0.00012490289,0.08913994,10228.203,11.451447,-13.703888
