time,level,y,x,air,shum,omega,hgt,uwnd,vwnd,source_file,id1,id2
1855032.0,550.0,2824281.0,5161615.0,272.52606,0.003666,0.04637909,5163.1055,-1.3887024,-2.5451355,all_606092.0_20110816.csv,,
1838496.0,300.0,3506004.0,5908264.0,232.29457,0.00016631512,-0.07358742,9467.277,-4.1661835,-30.19043,all_799881.0_20090926.csv,,
1906968.0,200.0,3570930.0,5129152.0,219.64188,5.5010085e-05,0.004969597,12503.676,20.137497,19.514343,all_250.0_20170719.csv,,
1907112.0,825.0,3863097.0,4479892.5,300.5857,0.00311,0.051613808,1747.9329,-0.9740143,-1.7427673,all_238.0_20170725.csv,,
1916880.0,825.0,2986596.0,6070579.0,296.47388,0.00892,-0.11868,1776.814,1.5523529,5.8750763,all_690616.0_20180905.csv,,
1784640.0,950.0,4090338.0,4252651.5,288.72144,0.006994923,-0.03796482,581.0488,2.0621338,-1.3787384,all_619619.0_20030805.csv,,
1812600.0,925.0,2889207.0,4642207.5,293.74783,0.006244498,-0.03315735,748.605,-2.929184,5.2026825,all_536116.0_20061013.csv,,
1908000.0,450.0,4350042.0,5096689.0,255.93631,0.001118,-0.00329113,6662.125,8.855189,5.43277,all_116876.0_20170831.csv,,
1855800.0,450.0,4187727.0,4869448.5,249.84421,0.000512,-0.17721558,6457.422,11.980011,6.041046,all_740390.0_20110917.csv,,
1930176.0,900.0,3603393.0,6265357.0,291.44818,0.0031899998,0.09036541,952.3059,7.520752,9.199524,all_756118.0_20200312.csv,,
1775784.0,750.0,4122801.0,5551171.0,288.42285,0.00398,-0.8944273,2543.9229,6.233612,-4.159958,all_485162.0_20020801.csv,,
1812504.0,800.0,4025412.0,4901911.5,279.9505,0.00223,-0.25227928,2060.0745,3.3181305,-1.1105957,all_489681.0_20061009.csv,,
1802352.0,650.0,4090338.0,4544818.5,274.92407,0.001692,0.0015821457,3758.2148,13.322815,1.2442169,all_326731.0_20050812.csv,,
1838952.0,200.0,3148911.0,5096689.0,220.36845,5.9e-05,0.09465599,12299.59,39.940186,0.774353,all_895103.0_20091015.csv,,
1942968.0,200.0,3246300.0,6070579.0,221.54208,5.718268e-05,0.08892536,12473.559,13.209656,5.33374,all_572810.0_20210827.csv,,
1785744.0,750.0,3538467.0,4285114.5,285.86206,0.00296,0.12984562,2575.7004,0.9209442,-1.4668274,all_832500.0_20030920.csv,,
1916544.0,250.0,4057875.0,4544818.5,224.45595,5.6081546e-05,0.05940056,10776.449,-22.716522,-19.26622,all_627006.0_20180822.csv,,
1791408.0,650.0,2921670.0,4772059.5,273.81448,0.00074,0.20380688,3677.5938,7.819229,-10.101425,all_360910.0_20040513.csv,,
1952256.0,875.0,4317579.0,4804522.5,288.00464,0.00425962,0.20493507,1189.1497,-1.8723145,-2.3361053,all_65560.0_20220918.csv,,
1825632.0,825.0,4317579.0,4901911.5,270.41953,0.0029,-0.2857952,1702.0264,5.8521576,3.9286957,all_252660.0_20080408.csv,,
1799328.0,150.0,3181374.0,6135505.0,211.72345,9.680001e-06,0.043827236,13904.227,23.518038,-2.290619,all_1182274.0_20050408.csv,,
1913328.0,600.0,4414968.0,5323930.0,261.13416,0.000603,-0.07599926,4249.4697,14.878998,-6.2069397,all_309117.0_20180410.csv,,
1803096.0,775.0,4317579.0,4869448.5,275.10205,0.0045,-0.017209053,2256.162,5.314743,-0.54374695,all_480203.0_20050912.csv,,
1799016.0,875.0,3083985.0,4577281.5,280.63635,0.0041931374,-0.07967186,1275.0029,5.743149,-5.083954,all_1141505.0_20050326.csv,,
1855440.0,1000.0,3895560.0,5194078.0,303.27832,0.0037586251,0.078186035,91.37378,7.6533966,1.2417297,all_674402.0_20110902.csv,,
1905984.0,350.0,4544820.0,5064226.0,244.1281,0.0003081469,0.06366253,8435.621,15.095703,9.438293,all_905295.0_20170608.csv,,
1863072.0,850.0,3798171.0,5388856.0,294.8181,0.00565,0.0740366,1505.3887,3.0399323,0.8171234,all_535276.0_20120716.csv,,
1828848.0,1000.0,3895560.0,4999300.0,305.90356,0.0059709945,-0.12034923,34.746765,7.5775604,2.752902,all_694853.0_20080820.csv,,
1803624.0,350.0,4252653.0,4934374.5,227.15132,0.0001,-0.24646854,8052.3125,-0.33900452,13.370285,all_619132.0_20051004.csv,,
1934496.0,100.0,4187727.0,4447429.5,205.38448,1.0483955e-05,-0.021638334,16674.164,5.3972015,-15.1896515,all_179932.0_20200908.csv,,
1918104.0,125.0,4252653.0,4317577.5,209.68059,8.302317e-06,0.047605872,14981.859,32.071373,3.0127106,all_828919.0_20181026.csv,,
1827768.0,750.0,3635856.0,4479892.5,289.11475,0.00385,-0.12666512,2574.2856,4.2111187,0.5142994,all_556992.0_20080706.csv,,
1855632.0,900.0,3278763.0,4836985.5,302.02563,0.0039819577,-0.090434074,970.3862,-0.5310364,-0.1334076,all_674217.0_20110910.csv,,
1890600.0,175.0,4155264.0,4999300.0,230.05554,2.2253951e-05,-0.0050964355,12839.566,17.226334,12.038696,all_575449.0_20150906.csv,,
1834032.0,900.0,3051522.0,4479892.5,278.56525,0.00305,-0.46082592,1057.7554,1.8516693,-6.891968,all_197298.0_20090324.csv,,
1957656.0,175.0,4220190.0,4966837.0,209.9883,1.5935828e-05,-0.025659025,12839.152,5.5821114,7.011551,all_235372.0_20230501.csv,,
1900800.0,550.0,4285116.0,4609744.5,262.3659,0.000923,-0.0858593,5037.051,14.6931,11.503281,all_929175.0_20161104.csv,,
1897080.0,150.0,4090338.0,5031763.0,212.1576,1.9373894e-05,-0.04348439,13864.305,17.928291,-4.950165,all_407285.0_20160602.csv,,
1846224.0,400.0,4544820.0,4414966.5,253.08304,0.000186,0.28297997,7538.1484,0.66355896,-17.320602,all_545424.0_20100814.csv,,
1958688.0,750.0,3538467.0,4642207.5,282.8628,0.00659,-0.16501331,2537.7576,1.5899811,-2.408554,all_325172.0_20230613.csv,,
1777320.0,550.0,4350042.0,4836985.5,260.4636,0.00111,-0.10645676,4940.3633,7.085205,-7.7197723,all_795097.0_20021004.csv,,
1874352.0,125.0,4025412.0,4350040.5,216.03227,5.0392764e-06,0.046679616,14756.316,-0.45341492,-17.049423,all_845136.0_20131029.csv,,
1786200.0,450.0,3635856.0,4382503.5,259.70663,0.000749,0.05741024,6614.496,20.254272,1.2909241,all_893861.0_20031009.csv,,
